Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Poland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Romania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,5.4,5.3,5.2,5.5,5.4,5.5,4.9,5.5,5.6,5.6,7.7,11.2,11.8,11.6,11.7,11.5,11.6,11.7,11.6,11.3,11.5,11.4,11.3,11.5,11.3,-1.3%,-0.4%,0.4%
Slovakia,-,-,-,-,-,-,-,^,0.2,0.5,0.2,0.4,0.1,^,2.1,4.5,5.1,5.8,6.2,7.2,9.4,11.7,11.5,11.5,12.2,12.0,11.7,11.1,11.5,12.6,11.4,11.2,11.1,11.4,13.1,16.5,17.1,18.0,17.9,17.0,17.7,18.0,15.3,16.7,14.1,14.6,15.4,15.5,15.7,15.5,15.1,14.8,15.1,14.8,15.3,15.4,15.8,2.4%,0.2%,0.6%
Slovenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6,5.0,4.0,4.0,4.6,4.8,4.6,5.0,5.0,4.7,4.8,5.3,5.5,5.2,5.5,5.9,5.5,5.7,6.3,5.7,5.7,6.2,5.5,5.3,6.4,5.6,5.7,6.3,5.8,5.8,6.4,5.7,-9.9%,-0.9%,0.2%
Spain,-,-,-,0.1,0.8,0.9,2.5,4.8,6.5,7.2,7.5,7.6,6.5,7.6,6.7,5.2,9.6,8.8,10.7,23.1,28.0,37.5,41.3,50.5,56.1,54.3,55.6,55.8,56.1,55.3,55.5,56.3,55.3,59.0,58.9,62.2,63.7,63.0,61.9,63.6,57.5,60.1,55.1,59.0,52.8,61.6,57.7,61.5,56.7,57.3,57.3,58.6,58.1,55.8,58.3,58.3,56.5,-2.8%,-0.2%,2.0%
Sweden,^,^,^,^,0.1,0.1,0.1,1.5,2.1,2.1,12.0,16.0,19.9,23.8,21.0,26.5,37.7,39.0,41.0,50.9,58.6,70.0,67.4,69.4,65.6,68.2,76.8,63.5,61.4,73.2,69.9,74.3,69.9,73.6,73.2,57.3,72.1,68.1,67.4,77.7,72.7,67.0,67.0,63.9,52.2,57.7,60.5,64.0,66.5,64.9,56.3,63.1,65.7,68.5,66.1,49.2,53.1,8.2%,-1.3%,1.9%
Switzerland,-,-,-,-,0.5,1.8,1.4,3.8,6.3,7.1,7.8,7.9,8.1,8.4,11.8,14.3,15.3,15.1,15.7,18.4,22.4,22.4,22.8,22.6,22.7,23.5,22.8,23.3,23.2,24.2,24.7,25.0,25.2,25.7,24.8,26.3,26.6,27.0,27.3,26.8,23.2,27.6,27.7,27.5,27.5,26.5,26.9,25.6,26.2,27.8,23.3,21.3,20.5,24.4,25.3,23.0,18.5,-19.2%,-3.7%,0.7%
Turkey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
