Pais,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,35.7,36.6,42.7,46.0,48.3,54.2,56.9,61.0,63.9,66.0,62.4,63.1,64.7,66.5,66.7,67.2,68.1,69.9,70.8,68.1,70.3,71.3,76.7,69.5,66.9,69.6,68.7,69.4,69.4,71.3,65.1,65.5,0.886%,-0.8%,0.2%
Kuwait,33.9,43.7,28.4,37.9,43.7,51.1,50.9,52.6,59.0,59.9,64.0,64.3,68.2,82.0,91.3,99.4,95.8,92.7,98.7,97.4,106.8,110.2,114.8,120.9,122.4,124.7,125.3,124.7,127.2,128.7,119.2,126.8,6.685%,1.4%,0.3%
Oman,19.5,24.0,23.5,23.9,23.6,25.7,26.4,28.5,28.1,32.3,39.9,43.2,46.7,48.1,46.3,48.8,52.2,51.6,58.9,58.8,66.6,69.8,77.2,88.2,87.9,91.6,93.8,98.0,101.2,101.1,97.6,107.8,10.814%,4.4%,0.3%
Qatar,15.4,19.4,27.1,29.6,30.7,31.0,24.8,28.6,30.7,34.1,31.7,30.3,33.8,45.2,52.1,55.9,57.8,65.1,73.8,76.5,81.8,95.2,111.9,125.1,134.5,147.9,147.8,140.0,143.0,149.4,131.3,139.2,6.327%,3.9%,0.4%
Saudi Arabia,268.1,303.4,302.7,301.9,315.6,304.4,309.3,314.6,329.9,329.4,343.0,351.1,358.9,386.5,413.8,420.2,438.3,457.1,496.5,506.9,555.1,591.3,620.7,637.2,678.0,698.4,729.8,711.4,711.1,685.1,670.4,679.4,1.624%,1.4%,1.7%
United Arab Emirates,99.1,117.9,115.7,119.2,129.9,134.8,138.1,144.8,147.8,147.1,146.7,147.7,154.8,166.7,178.3,185.9,196.9,214.7,243.0,233.9,243.9,251.8,263.5,280.7,277.1,301.3,311.2,312.0,306.1,305.2,280.6,293.2,4.788%,1.5%,0.8%
Other Middle East,106.4,116.6,124.1,131.0,140.5,146.0,148.8,154.3,163.4,168.0,170.1,173.4,177.5,182.8,179.6,194.5,197.4,199.5,205.8,209.4,211.7,200.3,180.9,174.0,169.8,149.0,141.7,150.7,144.3,146.9,138.3,143.1,3.811%,-3.3%,0.4%
Algeria,120.8,121.6,123.3,126.0,127.8,134.4,136.6,134.3,137.5,138.7,140.0,134.7,139.5,148.2,151.4,156.9,163.2,170.0,176.7,179.7,177.6,178.8,190.2,206.7,219.1,225.7,229.0,232.9,242.6,244.2,231.9,245.2,6.041%,3.2%,0.6%
Egypt,113.7,117.6,113.6,112.9,116.7,123.0,129.4,133.2,137.6,145.0,151.5,150.6,157.5,164.2,172.8,181.1,189.0,200.6,209.2,221.1,228.8,236.7,245.2,249.4,249.8,252.7,266.8,270.8,269.0,274.6,251.1,267.1,6.667%,1.2%,0.7%
Morocco,23.2,24.1,27.0,27.9,30.0,29.9,30.4,31.4,33.0,34.6,34.9,38.5,39.5,38.9,44.5,48.3,49.1,48.9,54.2,50.8,54.5,58.2,59.9,60.5,61.8,62.1,62.4,65.6,67.4,72.9,67.2,74.0,10.533%,2.4%,0.2%
South Africa,350.3,344.9,352.3,356.5,368.3,381.0,387.1,396.9,389.0,401.2,402.7,407.3,397.5,433.0,473.0,456.4,465.9,476.5,511.5,510.0,510.6,501.3,497.8,499.1,504.0,491.9,510.7,506.8,488.2,510.3,472.6,472.9,0.354%,-0.6%,1.2%
Eastern Africa,54.1,50.7,50.9,55.0,55.3,56.7,56.0,59.1,58.6,59.5,58.1,61.8,61.5,61.5,68.8,71.5,73.1,75.7,75.1,79.9,86.6,95.7,95.6,108.2,121.8,126.7,125.0,134.1,140.8,139.6,127.0,133.8,5.592%,3.4%,0.3%
Middle Africa,40.2,49.0,51.4,51.3,53.3,59.2,62.3,65.9,67.7,68.5,68.8,69.3,74.7,78.8,85.9,88.8,92.2,94.0,99.7,100.5,104.0,104.6,106.1,102.1,108.5,112.0,110.8,105.0,103.3,103.4,97.2,96.9,-0.098%,-0.8%,0.2%
Western Africa,138.5,147.9,159.1,158.0,158.8,161.3,174.2,164.8,160.7,154.0,159.7,165.4,170.0,175.5,186.6,190.6,179.9,184.5,182.8,167.3,182.9,188.4,189.8,184.0,182.9,196.5,197.2,207.6,226.3,234.0,231.8,240.5,4.012%,2.5%,0.6%
Other Northern Africa,106.9,111.6,103.8,107.8,119.4,125.8,128.5,125.0,127.3,122.4,129.2,126.5,124.3,130.5,139.6,150.6,156.3,153.7,159.1,156.6,165.1,93.9,152.7,139.8,122.2,116.3,113.7,133.4,143.1,148.5,102.4,160.6,57.248%,5.5%,0.4%
Other Southern Africa,6.2,6.2,6.9,7.0,7.4,7.6,7.3,7.8,8.5,8.8,8.9,9.1,9.0,9.0,9.1,9.6,9.5,9.9,10.3,10.9,9.6,11.0,12.5,12.7,14.0,14.1,13.9,14.9,14.9,14.9,13.7,14.2,4.180%,2.6%,♦
Australia,299.3,300.3,304.7,309.8,320.3,336.1,346.9,358.3,370.1,385.7,390.3,394.6,401.7,408.2,421.7,423.7,440.0,450.7,461.5,453.8,451.0,453.7,446.5,447.7,455.3,466.3,463.7,463.5,461.5,471.3,441.7,433.4,-1.610%,-0.5%,1.1%
Bangladesh,14.6,13.8,15.1,16.4,17.2,20.8,21.2,23.7,24.2,25.4,27.4,32.2,34.4,35.7,38.3,41.9,46.5,47.2,51.1,56.8,58.7,64.7,69.0,72.0,74.9,88.7,90.6,94.8,100.4,110.6,108.5,112.8,4.286%,5.7%,0.3%
China,2547.8,2696.6,2844.4,3079.1,3265.2,3398.1,3558.7,3549.9,3554.6,3697.9,3785.3,3988.2,4344.9,5121.0,6024.9,6862.0,7535.8,8174.8,8337.0,8754.9,9294.4,10083.2,10273.7,10569.4,10645.6,10547.9,10531.6,10767.0,11056.4,11311.1,11461.2,12039.8,5.336%,1.8%,30.9%
China Hong Kong SAR,42.0,43.7,50.8,55.8,49.2,53.0,50.5,49.8,51.4,50.7,53.9,70.5,67.7,71.7,78.9,76.2,80.3,86.0,79.7,86.9,88.9,92.6,89.3,92.2,90.4,91.3,93.4,99.5,100.8,95.2,68.7,65.2,-4.922%,-3.4%,0.2%
India,677.2,714.2,744.4,767.0,799.7,855.3,897.6,946.1,986.8,1011.4,1055.5,1065.6,1111.6,1155.7,1224.8,1318.7,1377.5,1494.7,1601.8,1750.9,1813.1,1900.8,2044.2,2126.6,2294.9,2355.2,2456.7,2529.3,2673.0,2702.3,2494.3,2797.2,12.451%,3.9%,7.2%
Indonesia,183.4,201.8,218.1,233.5,242.5,261.4,276.9,304.8,299.6,320.5,338.5,364.8,372.7,410.0,403.2,414.9,445.3,476.2,473.1,494.6,543.9,596.3,623.0,591.3,598.8,612.0,616.6,645.2,703.4,756.1,694.3,713.1,2.976%,1.8%,1.8%
Japan,1125.8,1144.3,1158.1,1151.8,1217.0,1232.9,1254.5,1250.8,1214.5,1246.4,1268.5,1261.4,1270.2,1309.9,1293.3,1327.5,1304.9,1317.5,1325.8,1153.5,1224.5,1237.3,1324.5,1314.1,1280.4,1239.9,1220.2,1214.1,1192.4,1151.4,1058.3,1081.7,2.494%,-1.3%,2.8%
Malaysia,64.6,78.1,86.4,85.0,91.6,97.8,112.7,129.1,123.7,129.2,148.9,154.6,164.4,180.5,195.5,209.3,209.6,221.5,231.1,221.7,233.6,230.1,248.8,260.7,271.8,275.7,284.4,270.9,279.0,284.2,269.5,266.7,-0.750%,1.5%,0.7%
New Zealand,27.4,27.9,29.6,29.1,30.0,30.4,31.4,33.6,32.1,33.4,34.1,36.3,36.2,38.4,37.3,39.5,39.4,38.7,39.8,36.8,36.7,36.5,38.1,37.5,37.6,38.3,37.2,39.3,38.9,40.0,34.8,33.9,-2.070%,-0.7%,0.1%
Pakistan,66.3,71.1,74.4,81.6,85.1,89.6,94.7,95.2,98.8,105.4,109.4,111.4,114.7,122.3,134.5,138.6,149.8,163.5,168.2,169.9,169.5,168.4,168.7,171.3,177.6,186.1,203.2,215.0,224.7,234.9,235.4,258.4,10.043%,4.4%,0.7%
Philippines,42.8,42.5,50.5,52.4,55.5,62.6,67.8,74.8,74.8,72.7,71.9,71.6,72.5,74.4,76.7,77.8,73.5,78.1,80.4,81.5,87.4,88.3,91.9,100.7,106.8,116.7,127.3,140.0,145.8,153.5,139.9,149.5,7.109%,5.4%,0.4%
South Korea,252.8,284.1,310.5,343.6,371.1,401.7,442.9,468.6,400.4,435.3,463.4,477.8,497.3,507.5,515.4,521.3,526.2,541.4,553.7,556.5,613.2,640.6,639.8,647.4,642.6,650.6,662.0,670.4,686.2,662.7,614.2,628.7,2.647%,-0.2%,1.6%
Taiwan,129.5,138.2,148.9,161.6,169.8,180.1,187.5,202.7,214.1,224.2,241.3,239.4,249.6,258.4,268.6,274.2,283.1,284.6,270.5,256.3,276.1,281.5,274.9,276.6,282.5,282.0,286.3,292.2,290.2,284.7,270.4,285.3,5.767%,0.1%,0.7%
Thailand,97.7,107.3,119.3,137.3,153.8,172.7,193.2,202.6,180.7,190.0,191.0,200.4,214.4,222.2,242.0,252.6,255.8,265.9,265.5,264.5,278.2,278.0,297.5,298.2,307.0,314.3,322.9,322.4,328.0,323.3,303.6,301.8,-0.335%,0.8%,0.8%
Vietnam,21.5,22.5,24.1,26.7,29.2,33.9,38.6,46.0,51.1,50.6,59.0,64.8,73.1,80.2,104.4,111.4,98.5,107.4,133.0,136.2,160.4,174.4,172.0,179.7,198.6,233.6,249.4,256.8,305.2,359.7,343.0,339.8,-0.675%,6.9%,0.9%
Other Asia Pacific,239.9,235.7,225.1,224.4,229.9,229.1,220.8,224.6,217.9,225.4,242.0,255.7,247.3,245.8,260.5,279.3,298.9,302.4,320.1,317.9,334.0,337.2,343.4,333.1,349.0,372.1,406.5,453.6,460.8,476.5,466.8,471.5,1.287%,3.4%,1.2%
