Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.06,3.23,3.30,3.50,3.53,4.35,4.14,3.53,3.17,2.77,2.60,3.01,2.71,2.51,2.67,2.67,2.59,2.55,2.60,2.58,2.60,2.52,2.38,2.26,1.76,1.96,2.02,1.87,1.72,1.45,1.15,1.13,1.09,1.10,1.02,1.06,0.94,-10.8%,-7.4%,0.6%
United Kingdom,0.03,0.03,0.05,0.11,0.22,0.43,0.69,0.97,1.05,1.26,1.32,1.40,1.49,1.54,1.69,1.69,1.71,1.70,1.77,1.82,1.95,1.98,2.04,1.94,1.90,1.98,2.13,2.12,2.42,2.49,2.66,3.10,3.18,3.31,3.52,3.65,3.63,3.58,3.59,3.67,3.58,3.39,3.43,3.52,3.28,3.55,2.95,2.77,2.75,2.52,2.59,2.90,2.83,2.83,2.80,2.63,2.77,5.7%,-0.6%,1.9%
Other Europe,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.10,0.12,0.12,0.14,0.16,0.17,0.35,0.37,0.41,0.41,0.43,0.30,0.28,0.27,0.19,0.14,0.13,0.10,0.12,0.11,0.10,0.11,0.11,0.11,0.12,0.14,0.14,0.16,0.15,0.13,0.11,0.13,0.15,0.14,0.15,0.15,0.16,0.17,0.19,0.19,0.20,0.20,0.22,14.8%,4.0%,0.2%
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.48,0.53,0.52,0.52,0.54,0.56,0.53,0.41,0.30,0.29,0.28,0.21,0.20,0.18,0.20,0.19,0.27,0.27,0.28,0.33,0.34,0.36,0.32,0.36,0.31,0.29,0.32,0.34,0.34,0.35,0.40,0.39,0.38,0.39,0.42,0.45,0.46,3.1%,3.6%,0.3%
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.31,0.32,0.36,0.41,0.44,0.47,0.49,0.57,0.52,0.46,0.41,0.44,0.50,0.51,0.52,0.55,0.54,0.56,0.55,0.67,0.68,0.70,0.70,0.72,0.61,0.75,0.69,0.70,0.69,0.69,0.64,0.64,0.66,0.70,0.69,0.64,0.69,7.5%,-0.1%,0.5%
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.32,0.39,0.41,0.43,0.44,0.47,0.50,0.51,0.49,0.35,0.41,0.34,0.27,0.27,0.30,0.17,0.15,0.15,0.17,0.19,0.22,0.24,0.29,0.31,0.29,0.32,0.36,0.39,0.40,0.46,0.46,0.48,0.51,0.59,0.60,0.63,0.55,-12.9%,4.4%,0.4%
Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.82,12.97,13.72,14.47,14.69,14.91,15.30,14.81,14.77,13.87,13.41,13.48,12.43,12.94,12.90,13.18,13.40,13.56,13.88,14.24,14.41,15.18,15.44,15.22,14.32,15.26,15.68,15.43,15.30,15.20,14.71,15.14,15.52,16.36,16.00,15.25,17.09,12.4%,0.9%,11.8%
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.29,0.48,0.47,0.48,0.50,0.33,0.33,0.32,0.32,0.35,0.27,0.43,0.30,0.37,0.33,0.26,0.38,0.27,0.42,0.41,0.42,0.43,0.40,0.28,0.62,0.66,0.75,0.83,0.70,0.72,0.91,0.90,0.89,1.02,1.14,1.07,1.32,24.2%,5.9%,0.9%
USSR,4.38,4.89,5.38,5.81,6.21,6.82,7.46,7.84,8.53,9.04,9.87,10.86,11.64,12.41,13.17,13.57,14.37,15.52,16.64,18.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.12,1.08,1.13,1.12,1.18,1.26,1.26,1.27,1.39,1.41,1.44,1.50,1.47,1.48,1.71,1.75,1.77,1.82,1.64,1.66,1.69,1.56,1.69,1.59,1.59,1.59,1.70,1.66,1.66,1.75,1.67,1.56,1.61,1.60,1.61,1.57,1.67,6.9%,-0.2%,1.1%
Other CIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.28,0.27,0.30,0.39,0.44,0.40,0.33,0.30,0.22,0.19,0.18,0.20,0.21,0.22,0.17,0.16,0.17,0.16,0.14,0.17,0.18,0.19,0.21,0.21,0.19,0.19,0.20,0.21,0.17,0.19,0.19,0.19,0.18,0.21,0.20,0.21,0.22,6.1%,1.3%,0.2%
Iran,0.03,0.03,0.03,0.03,0.04,0.09,0.11,0.12,0.15,0.15,0.15,0.17,0.18,0.14,0.18,0.16,0.18,0.24,0.28,0.32,0.35,0.33,0.41,0.45,0.56,0.82,0.96,1.10,0.59,0.94,1.15,1.35,1.43,1.66,1.98,2.14,2.40,2.82,2.89,3.36,3.49,3.81,4.27,4.53,4.85,5.20,5.51,5.49,5.54,6.24,6.62,7.07,7.38,7.66,7.86,8.43,8.68,3.2%,4.6%,6.0%
Iraq,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.04,0.04,0.06,0.04,0.02,0.02,0.02,0.02,0.03,0.05,0.13,0.19,0.22,0.14,0.06,0.08,0.09,0.11,0.11,0.11,0.10,0.10,0.11,0.11,0.09,0.08,0.05,0.03,0.05,0.05,0.16,0.23,0.25,0.26,0.23,0.23,0.25,0.27,0.26,0.36,0.41,0.53,0.70,0.67,0.62,-7.3%,10.5%,0.4%
Israel,^,^,^,^,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.04,0.06,0.08,0.09,0.13,0.14,0.18,0.17,0.09,0.24,0.26,0.29,0.33,0.36,0.38,0.39,0.41,0.42,3.5%,9.4%,0.3%
Kuwait,0.06,0.08,0.09,0.11,0.13,0.07,0.07,0.09,0.10,0.10,0.11,0.13,0.14,0.16,0.21,0.14,0.16,0.13,0.14,0.15,0.14,0.20,0.16,0.23,0.28,0.14,0.02,0.09,0.19,0.20,0.32,0.32,0.32,0.32,0.30,0.33,0.32,0.30,0.34,0.37,0.42,0.42,0.39,0.43,0.43,0.50,0.57,0.63,0.64,0.64,0.73,0.76,0.76,0.76,0.84,0.80,0.90,13.5%,4.7%,0.6%
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.08,0.08,0.09,0.09,0.10,0.09,0.10,0.12,0.13,0.15,0.16,0.17,0.28,0.30,0.32,0.34,0.31,0.39,0.43,0.44,0.48,0.49,0.59,0.65,0.71,0.78,0.77,0.83,0.82,0.84,0.90,0.90,0.93,1.06,14.2%,5.0%,0.7%
Qatar,^,^,^,0.02,0.03,0.04,0.04,0.04,0.06,0.05,0.07,0.04,0.06,0.06,0.16,0.18,0.16,0.19,0.20,0.22,0.20,0.22,0.21,0.22,0.23,0.23,0.28,0.47,0.50,0.50,0.50,0.35,0.37,0.40,0.46,0.41,0.38,0.41,0.47,0.57,0.64,0.64,0.69,0.75,0.77,0.91,1.04,1.21,1.27,1.38,1.56,1.49,1.48,1.47,1.51,1.40,1.44,3.1%,3.3%,1.0%
